1,1_TYPE,"Eldon Base for stackable storage shelf, platinum","Eldon Base for stackable storage shelf, platinum_TYPE","Muhammed MacIntyre","Muhammed MacIntyre_TYPE",3,3_TYPE,-213.25,-213.25_TYPE,38.94,38.94_TYPE,35,35_TYPE,Nunavut,Nunavut_TYPE,"Storage & Organization","Storage & Organization_TYPE",0.8,0.8_TYPE
20,Number,g520,Mix,"Jim Radford",String,1344,Number,-11.68,Number,65.99,Number,5.26,Number,Nunavut,String,"Telephones and Communication",String,0.59,Number
21,Number,"LX 788",Mix,"Jim Radford",String,1344,Number,313.58,Number,155.99,Number,8.99,Number,Nunavut,String,"Telephones and Communication",String,0.58,Number
22,Number,"Avery 52",Mix,"Carlos Soltero",String,1412,Number,26.92,Number,3.69,Number,0.5,Number,Nunavut,String,Labels,String,0.38,Number
23,Number,"Plymouth Boxed Rubber Bands by Plymouth",String,"Carlos Soltero",String,1412,Number,-5.77,Number,4.71,Number,0.7,Number,Nunavut,String,"Rubber Bands",String,0.8,Number
24,Number,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Mix,"Carl Ludwig",String,1539,Number,-172.88,Number,15.99,Number,13.18,Number,Nunavut,String,"Binders and Binder Accessories",String,0.37,Number
25,Number,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Mix,"Carl Ludwig",String,1539,Number,-144.55,Number,4.89,Number,4.93,Number,Nunavut,String,"Computer Peripherals",String,0.66,Number
26,Number,"Newell 335",Mix,"Don Miller",String,1540,Number,5.76,Number,2.88,Number,0.7,Number,Nunavut,String,"Pens & Art Supplies",String,0.56,Number
27,Number,"SANFORD Liquid Accent™ Tank-Style Highlighters",String,"Annie Cyprus",String,1702,Number,4.90,Number,2.84,Number,0.93,Number,Nunavut,String,"Pens & Art Supplies",String,0.54,Number
28,Number,"Canon PC940 Copier",Mix,"Carl Ludwig",String,1761,Number,-547.61,Number,449.99,Number,49,Number,Nunavut,String,"Copiers and Fax",String,0.38,Number
29,Number,"Tenex Personal Project File with Scoop Front Design, Black",String,"Carlos Soltero",String,1792,Number,-5.45,Number,13.48,Number,4.51,Number,Nunavut,String,"Storage & Organization",String,0.59,Number
30,Number,"Col-Erase® Pencils with Erasers",String,"Grant Carroll",String,2275,Number,41.67,Number,6.08,Number,1.17,Number,Nunavut,String,"Pens & Art Supplies",String,0.56,Number
31,Number,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Mix,"Don Miller",String,2277,Number,-46.03,Number,5.98,Number,4.38,Number,Nunavut,String,"Computer Peripherals",String,0.75,Number
32,Number,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Mix,"Don Miller",String,2277,Number,33.67,Number,40.99,Number,19.99,Number,Nunavut,String,Paper,String,0.36,Number
33,Number,"Self-Adhesive Address Labels for Typewriters by Universal",String,"Alan Barnes",String,2532,Number,140.01,Number,7.31,Number,0.49,Number,Nunavut,String,Labels,String,0.38,Number
34,Number,Accessory37,Mix,"Alan Barnes",String,2532,Number,-78.96,Number,20.99,Number,2.5,Number,Nunavut,String,"Telephones and Communication",String,0.81,Number
35,Number,"Fuji 5.2GB DVD-RAM",Mix,"Jack Garza",String,2631,Number,252.66,Number,40.96,Number,1.99,Number,Nunavut,String,"Computer Peripherals",String,0.55,Number
36,Number,"Bevis Steel Folding Chairs",String,"Julia West",String,2757,Number,-1766.01,Number,95.95,Number,74.35,Number,Nunavut,String,"Chairs & Chairmats",String,0.57,Number
37,Number,"Avery Binder Labels",String,"Eugene Barchas",String,2791,Number,-236.27,Number,3.89,Number,7.01,Number,Nunavut,String,"Binders and Binder Accessories",String,0.37,Number
38,Number,"Hon Every-Day® Chair Series Swivel Task Chairs",String,"Eugene Barchas",String,2791,Number,80.44,Number,120.98,Number,30,Number,Nunavut,String,"Chairs & Chairmats",String,0.64,Number
39,Number,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Mix,"Eugene Barchas",String,2791,Number,118.94,Number,30.98,Number,5.76,Number,Nunavut,String,Paper,String,0.4,Number
40,Number,"Global Troy™ Executive Leather Low-Back Tilter",String,"Edward Hooks",String,2976,Number,3424.22,Number,500.98,Number,26,Number,Nunavut,String,"Chairs & Chairmats",String,0.6,Number
41,Number,"XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal",String,"Brad Eason",String,3232,Number,-11.83,Number,7.84,Number,4.71,Number,Nunavut,String,"Binders and Binder Accessories",String,0.35,Number
42,Number,"Computer Printout Paper with Letter-Trim Perforations",String,"Nicole Hansen",String,3524,Number,52.35,Number,18.97,Number,9.03,Number,Nunavut,String,Paper,String,0.37,Number
43,Number,6160,Number,"Dorothy Wardle",String,3908,Number,-180.20,Number,115.99,Number,2.5,Number,Nunavut,String,"Telephones and Communication",String,0.57,Number
44,Number,"Avery 49",Mix,"Aaron Bergman",String,4132,Number,1.32,Number,2.88,Number,0.5,Number,Nunavut,String,Labels,String,0.36,Number
45,Number,"Hoover Portapower™ Portable Vacuum",String,"Jim Radford",String,4612,Number,-375.64,Number,4.48,Number,49,Number,Nunavut,String,Appliances,String,0.6,Number
46,Number,"Timeport L7089",Mix,"Annie Cyprus",String,4676,Number,-104.25,Number,125.99,Number,7.69,Number,Nunavut,String,"Telephones and Communication",String,0.58,Number
47,Number,"Avery 510",Mix,"Annie Cyprus",String,4676,Number,85.96,Number,3.75,Number,0.5,Number,Nunavut,String,Labels,String,0.37,Number
48,Number,"Xerox 1881",Mix,"Annie Cyprus",String,4676,Number,-8.38,Number,12.28,Number,6.47,Number,Nunavut,String,Paper,String,0.38,Number
49,Number,"LX 788",Mix,"Annie Cyprus",String,4676,Number,1115.69,Number,155.99,Number,8.99,Number,Nunavut,String,"Telephones and Communication",String,0.58,Number
50,Number,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",String,"Annie Cyprus",String,5284,Number,-3.05,Number,8.69,Number,2.99,Number,Nunavut,String,"Binders and Binder Accessories",String,0.39,Number
51,Number,"Memorex 4.7GB DVD-RAM, 3/Pack",Mix,"Clay Rozendal",String,5316,Number,514.07,Number,31.78,Number,1.99,Number,Nunavut,String,"Computer Peripherals",String,0.42,Number
52,Number,"Unpadded Memo Slips",String,"Don Jones",String,5409,Number,-7.04,Number,3.98,Number,2.97,Number,Nunavut,String,Paper,String,0.35,Number
53,Number,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Mix,"Beth Thompson",String,5506,Number,4.41,Number,5.88,Number,3.04,Number,Nunavut,String,Paper,String,0.36,Number
54,Number,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",String,"Frank Price",String,5569,Number,-0.06,Number,9.65,Number,6.22,Number,Nunavut,String,"Office Furnishings",String,0.55,Number
55,Number,"Bell Sonecor JB700 Caller ID",Mix,"Michelle Lonsdale",String,5607,Number,-50.33,Number,7.99,Number,5.03,Number,Nunavut,String,"Telephones and Communication",String,0.6,Number
56,Number,"Avery Arch Ring Binders",String,"Ann Chong",String,5894,Number,87.68,Number,58.1,Number,1.49,Number,Nunavut,String,"Binders and Binder Accessories",String,0.38,Number
57,Number,"APC 7 Outlet Network SurgeArrest Surge Protector",Mix,"Ann Chong",String,5894,Number,-68.22,Number,80.48,Number,4.5,Number,Nunavut,String,Appliances,String,0.55,Number
58,Number,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",String,"Joy Bell",String,5925,Number,-354.90,Number,92.23,Number,39.61,Number,Nunavut,String,"Office Furnishings",String,0.67,Number
59,Number,Accessory4,Mix,"Joy Bell",String,5925,Number,-267.01,Number,85.99,Number,0.99,Number,Nunavut,String,"Telephones and Communication",String,0.85,Number
60,Number,"Personal Creations™ Ink Jet Cards and Labels",String,"Skye Norling",String,6016,Number,3.63,Number,11.48,Number,5.43,Number,Nunavut,String,Paper,String,0.36,Number
61,Number,"High Speed Automatic Electric Letter Opener",String,"Barry Weirich",String,6116,Number,-1759.58,Number,1637.53,Number,24.49,Number,Nunavut,String,"Scissors, Rulers and Trimmers",String,0.81,Number
62,Number,"Xerox 1966",Mix,"Grant Carroll",String,6182,Number,-116.79,Number,6.48,Number,6.65,Number,Nunavut,String,Paper,String,0.36,Number
63,Number,"Xerox 213",Mix,"Grant Carroll",String,6182,Number,-67.28,Number,6.48,Number,7.86,Number,Nunavut,String,Paper,String,0.37,Number
64,Number,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Mix,"Adrian Hane",String,6535,Number,-19.33,Number,28.15,Number,8.99,Number,Nunavut,String,"Pens & Art Supplies",String,0.57,Number
65,Number,"Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)",Mix,"Skye Norling",String,6884,Number,-61.21,Number,4.98,Number,4.75,Number,Nunavut,String,Paper,String,0.36,Number
66,Number,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Mix,"Skye Norling",String,6884,Number,119.09,Number,6.35,Number,1.02,Number,Nunavut,String,Paper,String,0.39,Number
67,Number,Crate-A-Files™,String,"Andrew Gjertsen",String,6916,Number,-141.27,Number,10.9,Number,7.46,Number,Nunavut,String,"Storage & Organization",String,0.59,Number
68,Number,"Angle-D Binders with Locking Rings, Label Holders",String,"Ralph Knight",String,6980,Number,-77.28,Number,7.3,Number,7.72,Number,Nunavut,String,"Binders and Binder Accessories",String,0.38,Number
69,Number,"80 Minute CD-R Spindle, 100/Pack - Staples",Mix,"Dorothy Wardle",String,6982,Number,407.44,Number,39.48,Number,1.99,Number,Nunavut,String,"Computer Peripherals",String,0.54,Number
70,Number,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",String,"Dorothy Wardle",String,6982,Number,-338.27,Number,100.98,Number,57.38,Number,Nunavut,String,Bookcases,String,0.78,Number
71,Number,"12-1/2 Diameter Round Wall Clock",Mix,"Dorothy Wardle",String,6982,Number,52.56,Number,19.98,Number,10.49,Number,Nunavut,String,"Office Furnishings",String,0.49,Number
72,Number,"SAFCO Arco Folding Chair",String,"Grant Carroll",String,7110,Number,1902.24,Number,276.2,Number,24.49,Number,Nunavut,String,"Chairs & Chairmats",String,,String
73,Number,"#10 White Business Envelopes,4 1/8 x 9 1/2",Mix,"Barry Weirich",String,7430,Number,353.20,Number,15.67,Number,1.39,Number,Nunavut,String,Envelopes,String,0.38,Number
74,Number,"3M Office Air Cleaner",Mix,"Beth Paige",String,7906,Number,271.78,Number,25.98,Number,5.37,Number,Nunavut,String,Appliances,String,0.5,Number
75,Number,"Global Leather and Oak Executive Chair, Black",String,"Sylvia Foulston",String,8391,Number,-268.36,Number,300.98,Number,64.73,Number,Nunavut,String,"Chairs & Chairmats",String,0.56,Number
76,Number,"Xerox 1936",Mix,"Nicole Hansen",String,8419,Number,70.39,Number,19.98,Number,5.97,Number,Nunavut,String,Paper,String,0.38,Number
77,Number,"Xerox 214",Mix,"Nicole Hansen",String,8419,Number,-86.62,Number,6.48,Number,7.03,Number,Nunavut,String,Paper,String,0.37,Number
78,Number,"Carina Double Wide Media Storage Towers in Natural & Black",String,"Nicole Hansen",String,8833,Number,-846.73,Number,80.98,Number,35,Number,Nunavut,String,"Storage & Organization",String,0.81,Number
79,Number,"Staples® General Use 3-Ring Binders",Mix,"Beth Paige",String,8995,Number,8.05,Number,1.88,Number,1.49,Number,Nunavut,String,"Binders and Binder Accessories",String,0.37,Number
80,Number,"Xerox 1904",Mix,"Beth Paige",String,8995,Number,-78.02,Number,6.48,Number,5.86,Number,"Northwest Territories",String,Paper,String,0.36,Number
81,Number,"Luxo Professional Combination Clamp-On Lamps",String,"Beth Paige",String,8995,Number,737.94,Number,102.3,Number,21.26,Number,"Northwest Territories",String,"Office Furnishings",String,0.59,Number
82,Number,"Xerox 217",Mix,"Beth Paige",String,8995,Number,-191.28,Number,6.48,Number,8.19,Number,"Northwest Territories",String,Paper,String,0.37,Number
83,Number,"Revere Boxed Rubber Bands by Revere",String,"Beth Paige",String,8995,Number,-21.49,Number,1.89,Number,0.76,Number,"Northwest Territories",String,"Rubber Bands",String,0.83,Number
84,Number,"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",Mix,"Sylvia Foulston",String,9126,Number,884.08,Number,62.05,Number,3.99,Number,"Northwest Territories",String,Appliances,String,0.55,Number
85,Number,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",String,"Bryan Davis",String,9127,Number,-329.49,Number,279.48,Number,35,Number,"Northwest Territories",String,"Storage & Organization",String,0.8,Number
86,Number,"Hon 4070 Series Pagoda™ Round Back Stacking Chairs",Mix,"Joy Bell",String,9509,Number,2825.15,Number,320.98,Number,58.95,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.57,Number
87,Number,"Xerox 1887",Mix,"Joy Bell",String,9509,Number,2.13,Number,18.97,Number,5.21,Number,"Northwest Territories",String,Paper,String,0.37,Number
88,Number,"Xerox 1891",Mix,"Joy Bell",String,9509,Number,707.15,Number,48.91,Number,5.81,Number,"Northwest Territories",String,Paper,String,0.38,Number
89,Number,"Avery 506",Mix,"Alan Barnes",String,9763,Number,75.13,Number,4.13,Number,0.5,Number,"Northwest Territories",String,Labels,String,0.39,Number
90,Number,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Mix,"Grant Carroll",String,9927,Number,-270.63,Number,140.98,Number,53.48,Number,"Northwest Territories",String,Bookcases,String,0.65,Number
91,Number,"Lifetime Advantage™ Folding Chairs, 4/Carton",Mix,"Grant Carroll",String,9927,Number,3387.35,Number,218.08,Number,18.06,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.57,Number
92,Number,"Microsoft Natural Multimedia Keyboard",String,"Grant Carroll",String,9927,Number,-82.16,Number,50.98,Number,6.5,Number,"Northwest Territories",String,"Computer Peripherals",String,0.73,Number
93,Number,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Mix,"Delfina Latchford",String,10022,Number,-3.88,Number,10.14,Number,2.27,Number,"Northwest Territories",String,Paper,String,0.36,Number
94,Number,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Mix,"Don Jones",String,10437,Number,-191.22,Number,15.99,Number,13.18,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
95,Number,"Bevis Boat-Shaped Conference Table",String,"Doug Bickford",String,10499,Number,31.21,Number,262.11,Number,62.74,Number,"Northwest Territories",String,Tables,String,0.75,Number
96,Number,"Linden® 12"" Wall Clock With Oak Frame",Mix,"Doug Bickford",String,10535,Number,-44.14,Number,33.98,Number,19.99,Number,"Northwest Territories",String,"Office Furnishings",String,0.55,Number
97,Number,"Newell 326",Mix,"Doug Bickford",String,10535,Number,-0.79,Number,1.76,Number,0.7,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.56,Number
98,Number,"Prismacolor Color Pencil Set",String,"Jamie Kunitz",String,10789,Number,76.42,Number,19.84,Number,4.1,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.44,Number
99,Number,"Xerox Blank Computer Paper",String,"Anthony Johnson",String,10791,Number,93.36,Number,19.98,Number,5.77,Number,"Northwest Territories",String,Paper,String,0.38,Number
100,Number,"600 Series Flip",Mix,"Ralph Knight",String,10945,Number,4.22,Number,95.99,Number,8.99,Number,"Northwest Territories",String,"Telephones and Communication",String,0.57,Number
101,Number,"Fellowes Recycled Storage Drawers",String,"Allen Rosenblatt",String,11137,Number,395.12,Number,111.03,Number,8.64,Number,"Northwest Territories",String,"Storage & Organization",String,0.78,Number
102,Number,"Satellite Sectional Post Binders",String,"Barry Weirich",String,11202,Number,79.59,Number,43.41,Number,2.99,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.39,Number
103,Number,"Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting",String,"Doug Bickford",String,11456,Number,399.37,Number,105.34,Number,24.49,Number,"Northwest Territories",String,"Office Furnishings",String,0.61,Number
104,Number,"Avery 487",Mix,"Carl Jackson",String,11460,Number,37.79,Number,3.69,Number,0.5,Number,"Northwest Territories",String,Labels,String,0.38,Number
105,Number,"Bevis Round Conference Table Top & Single Column Base",String,"Brendan Dodson",String,11495,Number,-144.20,Number,146.34,Number,43.75,Number,"Northwest Territories",String,Tables,String,0.65,Number
106,Number,"GBC Twin Loop™ Wire Binding Elements, 9/16"" Spine, Black",Mix,"Edward Hooks",String,11911,Number,-14.75,Number,15.22,Number,9.73,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.36,Number
107,Number,"Hanging Personal Folder File",String,"Jamie Kunitz",String,11941,Number,-41.01,Number,15.7,Number,11.25,Number,"Northwest Territories",String,"Storage & Organization",String,0.6,Number
108,Number,"Bevis Round Conference Table Top, X-Base",String,"Jamie Kunitz",String,11941,Number,111.52,Number,179.29,Number,29.21,Number,"Northwest Territories",String,Tables,String,0.74,Number
109,Number,5125,Number,"Michelle Lonsdale",String,12096,Number,2332.40,Number,200.99,Number,8.08,Number,"Northwest Territories",String,"Telephones and Communication",String,0.59,Number
110,Number,"Electrix Halogen Magnifier Lamp",String,"Michelle Lonsdale",String,12096,Number,2176.19,Number,194.3,Number,11.54,Number,"Northwest Territories",String,"Office Furnishings",String,0.59,Number
111,Number,"Canon BP1200DH 12-Digit Bubble Jet Printing Calculator",Mix,"Brendan Dodson",String,12289,Number,1269.05,Number,120.97,Number,7.11,Number,"Northwest Territories",String,"Office Machines",String,0.36,Number
112,Number,"Fellowes Black Plastic Comb Bindings",String,"Hunter Glantz",String,12352,Number,-32.82,Number,5.81,Number,8.49,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.39,Number
113,Number,"Polycom ViewStation™ Adapter H323 Videoconferencing Unit",Mix,"Sylvia Foulston",String,12419,Number,5322.14,Number,1938.02,Number,13.99,Number,"Northwest Territories",String,"Office Machines",String,0.38,Number
114,Number,"Hon GuestStacker Chair",String,"Eugene Barchas",String,12485,Number,1068.48,Number,226.67,Number,28.16,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.59,Number
115,Number,"Eldon® Wave Desk Accessories",String,"Jim Radford",String,12544,Number,-129.01,Number,2.08,Number,5.33,Number,"Northwest Territories",String,"Office Furnishings",String,0.43,Number
116,Number,"Sharp AL-1530CS Digital Copier",Mix,"Carlos Soltero",String,12704,Number,1260.51,Number,499.99,Number,24.49,Number,"Northwest Territories",String,"Copiers and Fax",String,0.36,Number
117,Number,"Tennsco Lockers, Gray",String,"Carlos Soltero",String,12704,Number,-1274.02,Number,20.98,Number,53.03,Number,"Northwest Territories",String,"Storage & Organization",String,0.78,Number
118,Number,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Mix,"Carlos Soltero",String,12771,Number,-193.44,Number,30.53,Number,19.99,Number,"Northwest Territories",String,Labels,String,0.39,Number
119,Number,"Newell 323",Mix,"Carlos Soltero",String,12771,Number,-43.10,Number,1.68,Number,1.57,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.59,Number
120,Number,"Global Enterprise Series Seating High-Back Swivel/Tilt Chairs",String,"Jim Radford",String,12929,Number,-158.93,Number,270.98,Number,50,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.77,Number
121,Number,"Spiral Phone Message Books with Labels by Adams",String,"Jim Radford",String,12929,Number,29.68,Number,4.48,Number,1.22,Number,"Northwest Territories",String,Paper,String,0.36,Number
122,Number,Crate-A-Files™,String,"Grant Carroll",String,13280,Number,-116.76,Number,10.9,Number,7.46,Number,"Northwest Territories",String,"Storage & Organization",String,0.59,Number
123,Number,"Bell Sonecor JB700 Caller ID",Mix,"Grant Carroll",String,13280,Number,-160.95,Number,7.99,Number,5.03,Number,"Northwest Territories",String,"Telephones and Communication",String,0.6,Number
124,Number,"Holmes 99% HEPA Air Purifier",Mix,"Skye Norling",String,13313,Number,-209.61,Number,21.66,Number,13.99,Number,"Northwest Territories",String,Appliances,String,0.52,Number
125,Number,"Xerox 224",Mix,"Doug Bickford",String,13346,Number,-240.83,Number,6.48,Number,8.88,Number,"Northwest Territories",String,Paper,String,0.37,Number
126,Number,"Xerox 1906",Mix,"Grant Carroll",String,13702,Number,12.32,Number,35.44,Number,7.5,Number,"Northwest Territories",String,Paper,String,0.38,Number
127,Number,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Mix,"Muhammed MacIntyre",String,13795,Number,-119.08,Number,15.99,Number,13.18,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
128,Number,"Xerox 188",Mix,"Muhammed MacIntyre",String,13795,Number,43.35,Number,11.34,Number,5.01,Number,"Northwest Territories",String,Paper,String,0.36,Number
129,Number,"Xerox 1932",Mix,"Muhammed MacIntyre",String,13795,Number,545.49,Number,35.44,Number,5.09,Number,"Northwest Territories",String,Paper,String,0.38,Number
130,Number,"GBC Linen Binding Covers",String,"Doug Bickford",String,14116,Number,-16.07,Number,30.98,Number,11.63,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
131,Number,"GBC Recycled Grain Textured Covers",String,"Doug Bickford",String,14116,Number,161.48,Number,34.54,Number,14.72,Number,"Northwest Territories",String,"Binders and Binder Accessories",String,0.37,Number
132,Number,"Sauder Facets Collection Library, Sky Alder Finish",String,"Beth Thompson",String,14372,Number,-1059.20,Number,170.98,Number,60.49,Number,"Northwest Territories",String,Bookcases,String,0.69,Number
133,Number,"Fellowes Basic 104-Key Keyboard, Platinum",Mix,"Ralph Knight",String,14726,Number,-21.48,Number,20.95,Number,4,Number,"Northwest Territories",String,"Computer Peripherals",String,0.6,Number
134,Number,"Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection",Mix,"Carl Jackson",String,14819,Number,3122.78,Number,207.48,Number,0.99,Number,"Northwest Territories",String,Appliances,String,0.55,Number
135,Number,"O'Sullivan 3-Shelf Heavy-Duty Bookcases",Mix,"Carl Jackson",String,14819,Number,-478.22,Number,58.14,Number,36.61,Number,"Northwest Territories",String,Bookcases,String,0.61,Number
136,Number,"G.E. Longer-Life Indoor Recessed Floodlight Bulbs",String,"Dorothy Badders",String,15106,Number,-14.23,Number,6.64,Number,4.95,Number,"Northwest Territories",String,"Office Furnishings",String,0.37,Number
137,Number,"Panasonic KX-P1150 Dot Matrix Printer",Mix,"Dorothy Badders",String,15106,Number,948.79,Number,145.45,Number,17.85,Number,"Northwest Territories",String,"Office Machines",String,0.56,Number
138,Number,"Newell 327",Mix,"Dorothy Badders",String,15106,Number,-6.33,Number,2.21,Number,1.12,Number,"Northwest Territories",String,"Pens & Art Supplies",String,0.58,Number
139,Number,"Xerox 1893",Mix,"Delfina Latchford",String,15108,Number,372.36,Number,40.99,Number,17.48,Number,"Northwest Territories",String,Paper,String,0.36,Number
140,Number,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",String,"Julia West",String,15205,Number,678.26,Number,243.98,Number,43.32,Number,"Northwest Territories",String,"Chairs & Chairmats",String,0.55,Number
141,Number,"Eldon Radial Chair Mat for Low to Medium Pile Carpets",String,"Julia West",String,15205,Number,155.72,Number,39.98,Number,9.2,Number,"Northwest Territories",String,"Office Furnishings",String,0.65,Number
142,Number,"DAX Copper Panel Document Frame, 5 x 7 Size",Mix,"Brad Eason",String,15591,Number,73.53,Number,12.58,Number,5.16,Number,"Northwest Territories",String,"Office Furnishings",String,0.43,Number
143,Number,"O'Sullivan 2-Shelf Heavy-Duty Bookcases",Mix,"Thomas Seio",String,15907,Number,-1414.41,Number,48.58,Number,54.11,Number,"Northwest Territories",String,Bookcases,String,0.69,Number
144,Number,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Mix,"Thomas Seio",String,15907,Number,950.68,Number,105.98,Number,13.99,Number,"Northwest Territories",String,"Office Furnishings",String,0.65,Number
145,Number,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Mix,"Thomas Seio",String,15907,Number,-5.41,Number,7.04,Number,2.17,Number,"Northwest Territories",String,Paper,String,0.38,Number
