RowNumber,RowNumber_TYPE,CustomerId,CustomerId_TYPE,Surname,Surname_TYPE,CreditScore,CreditScore_TYPE,Geography,Geography_TYPE,Gender,Gender_TYPE,Age,Age_TYPE,Tenure,Tenure_TYPE,Balance,Balance_TYPE,NumOfProducts,NumOfProducts_TYPE,HasCrCard,HasCrCard_TYPE,IsActiveMember,IsActiveMember_TYPE,EstimatedSalary,EstimatedSalary_TYPE,Exited,Exited_TYPE
19,Number,15661507,Number,Muldrow,String,587,Number,Spain,String,Male,String,45,Number,6,Number,0,Number,1,Number,0,Number,0,Number,158684.81,Number,0,Number
20,Number,15568982,Number,Hao,String,726,Number,France,String,Female,String,24,Number,6,Number,0,Number,2,Number,1,Number,1,Number,54724.03,Number,0,Number
21,Number,15577657,Number,McDonald,String,732,Number,France,String,Male,String,41,Number,8,Number,0,Number,2,Number,1,Number,1,Number,170886.17,Number,0,Number
22,Number,15597945,Number,Dellucci,String,636,Number,Spain,String,Female,String,32,Number,8,Number,0,Number,2,Number,1,Number,0,Number,138555.46,Number,0,Number
23,Number,15699309,Number,Gerasimov,String,510,Number,Spain,String,Female,String,38,Number,4,Number,0,Number,1,Number,1,Number,0,Number,118913.53,Number,1,Number
24,Number,15725737,Number,Mosman,String,669,Number,France,String,Male,String,46,Number,3,Number,0,Number,2,Number,0,Number,1,Number,8487.75,Number,0,Number
25,Number,15625047,Number,Yen,String,846,Number,France,String,Female,String,38,Number,5,Number,0,Number,1,Number,1,Number,1,Number,187616.16,Number,0,Number
26,Number,15738191,Number,Maclean,String,577,Number,France,String,Male,String,25,Number,3,Number,0,Number,2,Number,0,Number,1,Number,124508.29,Number,0,Number
27,Number,15736816,Number,Young,String,756,Number,Germany,String,Male,String,36,Number,2,Number,136815.64,Number,1,Number,1,Number,1,Number,170041.95,Number,0,Number
28,Number,15700772,Number,Nebechi,String,571,Number,France,String,Male,String,44,Number,9,Number,0,Number,2,Number,0,Number,0,Number,38433.35,Number,0,Number
29,Number,15728693,Number,McWilliams,String,574,Number,Germany,String,Female,String,43,Number,3,Number,141349.43,Number,1,Number,1,Number,1,Number,100187.43,Number,0,Number
30,Number,15656300,Number,Lucciano,String,411,Number,France,String,Male,String,29,Number,0,Number,59697.17,Number,2,Number,1,Number,1,Number,53483.21,Number,0,Number
31,Number,15589475,Number,Azikiwe,String,591,Number,Spain,String,Female,String,39,Number,3,Number,0,Number,3,Number,1,Number,0,Number,140469.38,Number,1,Number
32,Number,15706552,Number,Odinakachukwu,String,533,Number,France,String,Male,String,36,Number,7,Number,85311.7,Number,1,Number,0,Number,1,Number,156731.91,Number,0,Number
33,Number,15750181,Number,Sanderson,String,553,Number,Germany,String,Male,String,41,Number,9,Number,110112.54,Number,2,Number,0,Number,0,Number,81898.81,Number,0,Number
34,Number,15659428,Number,Maggard,String,520,Number,Spain,String,Female,String,42,Number,6,Number,0,Number,2,Number,1,Number,1,Number,34410.55,Number,0,Number
35,Number,15732963,Number,Clements,String,722,Number,Spain,String,Female,String,29,Number,9,Number,0,Number,2,Number,1,Number,1,Number,142033.07,Number,0,Number
36,Number,15794171,Number,Lombardo,String,475,Number,France,String,Female,String,45,Number,0,Number,134264.04,Number,1,Number,1,Number,0,Number,27822.99,Number,1,Number
37,Number,15788448,Number,Watson,String,490,Number,Spain,String,Male,String,31,Number,3,Number,145260.23,Number,1,Number,0,Number,1,Number,114066.77,Number,0,Number
38,Number,15729599,Number,Lorenzo,String,804,Number,Spain,String,Male,String,33,Number,7,Number,76548.6,Number,1,Number,0,Number,1,Number,98453.45,Number,0,Number
39,Number,15717426,Number,Armstrong,String,850,Number,France,String,Male,String,36,Number,7,Number,0,Number,1,Number,1,Number,1,Number,40812.9,Number,0,Number
40,Number,15585768,Number,Cameron,String,582,Number,Germany,String,Male,String,41,Number,6,Number,70349.48,Number,2,Number,0,Number,1,Number,178074.04,Number,0,Number
41,Number,15619360,Number,Hsiao,String,472,Number,Spain,String,Male,String,40,Number,4,Number,0,Number,1,Number,1,Number,0,Number,70154.22,Number,0,Number
42,Number,15738148,Number,Clarke,String,465,Number,France,String,Female,String,51,Number,8,Number,122522.32,Number,1,Number,0,Number,0,Number,181297.65,Number,1,Number
43,Number,15687946,Number,Osborne,String,556,Number,France,String,Female,String,61,Number,2,Number,117419.35,Number,1,Number,1,Number,1,Number,94153.83,Number,0,Number
44,Number,15755196,Number,Lavine,String,834,Number,France,String,Female,String,49,Number,2,Number,131394.56,Number,1,Number,0,Number,0,Number,194365.76,Number,1,Number
45,Number,15684171,Number,Bianchi,String,660,Number,Spain,String,Female,String,61,Number,5,Number,155931.11,Number,1,Number,1,Number,1,Number,158338.39,Number,0,Number
46,Number,15754849,Number,Tyler,String,776,Number,Germany,String,Female,String,32,Number,4,Number,109421.13,Number,2,Number,1,Number,1,Number,126517.46,Number,0,Number
47,Number,15602280,Number,Martin,String,829,Number,Germany,String,Female,String,27,Number,9,Number,112045.67,Number,1,Number,1,Number,1,Number,119708.21,Number,1,Number
48,Number,15771573,Number,Okagbue,String,637,Number,Germany,String,Female,String,39,Number,9,Number,137843.8,Number,1,Number,1,Number,1,Number,117622.8,Number,1,Number
49,Number,15766205,Number,Yin,String,550,Number,Germany,String,Male,String,38,Number,2,Number,103391.38,Number,1,Number,0,Number,1,Number,90878.13,Number,0,Number
50,Number,15771873,Number,Buccho,String,776,Number,Germany,String,Female,String,37,Number,2,Number,103769.22,Number,2,Number,1,Number,0,Number,194099.12,Number,0,Number
51,Number,15616550,Number,Chidiebele,String,698,Number,Germany,String,Male,String,44,Number,10,Number,116363.37,Number,2,Number,1,Number,0,Number,198059.16,Number,0,Number
52,Number,15768193,Number,Trevisani,String,585,Number,Germany,String,Male,String,36,Number,5,Number,146050.97,Number,2,Number,0,Number,0,Number,86424.57,Number,0,Number
53,Number,15683553,Number,O'Brien,String,788,Number,France,String,Female,String,33,Number,5,Number,0,Number,2,Number,0,Number,0,Number,116978.19,Number,0,Number
54,Number,15702298,Number,Parkhill,String,655,Number,Germany,String,Male,String,41,Number,8,Number,125561.97,Number,1,Number,0,Number,0,Number,164040.94,Number,1,Number
55,Number,15569590,Number,Yoo,String,601,Number,Germany,String,Male,String,42,Number,1,Number,98495.72,Number,1,Number,1,Number,0,Number,40014.76,Number,1,Number
56,Number,15760861,Number,Phillipps,String,619,Number,France,String,Male,String,43,Number,1,Number,125211.92,Number,1,Number,1,Number,1,Number,113410.49,Number,0,Number
57,Number,15630053,Number,Tsao,String,656,Number,France,String,Male,String,45,Number,5,Number,127864.4,Number,1,Number,1,Number,0,Number,87107.57,Number,0,Number
58,Number,15647091,Number,Endrizzi,String,725,Number,Germany,String,Male,String,19,Number,0,Number,75888.2,Number,1,Number,0,Number,0,Number,45613.75,Number,0,Number
59,Number,15623944,Number,T'ien,String,511,Number,Spain,String,Female,String,66,Number,4,Number,0,Number,1,Number,1,Number,0,Number,1643.11,Number,1,Number
60,Number,15804771,Number,Velazquez,String,614,Number,France,String,Male,String,51,Number,4,Number,40685.92,Number,1,Number,1,Number,1,Number,46775.28,Number,0,Number
61,Number,15651280,Number,Hunter,String,742,Number,Germany,String,Male,String,35,Number,5,Number,136857,Number,1,Number,0,Number,0,Number,84509.57,Number,0,Number
62,Number,15773469,Number,Clark,String,687,Number,Germany,String,Female,String,27,Number,9,Number,152328.88,Number,2,Number,0,Number,0,Number,126494.82,Number,0,Number
63,Number,15702014,Number,Jeffrey,String,555,Number,Spain,String,Male,String,33,Number,1,Number,56084.69,Number,2,Number,0,Number,0,Number,178798.13,Number,0,Number
64,Number,15751208,Number,Pirozzi,String,684,Number,Spain,String,Male,String,56,Number,8,Number,78707.16,Number,1,Number,1,Number,1,Number,99398.36,Number,0,Number
65,Number,15592461,Number,Jackson,String,603,Number,Germany,String,Male,String,26,Number,4,Number,109166.37,Number,1,Number,1,Number,1,Number,92840.67,Number,0,Number
66,Number,15789484,Number,Hammond,String,751,Number,Germany,String,Female,String,36,Number,6,Number,169831.46,Number,2,Number,1,Number,1,Number,27758.36,Number,0,Number
67,Number,15696061,Number,Brownless,String,581,Number,Germany,String,Female,String,34,Number,1,Number,101633.04,Number,1,Number,1,Number,0,Number,110431.51,Number,0,Number
68,Number,15641582,Number,Chibugo,String,735,Number,Germany,String,Male,String,43,Number,10,Number,123180.01,Number,2,Number,1,Number,1,Number,196673.28,Number,0,Number
69,Number,15638424,Number,Glauert,String,661,Number,Germany,String,Female,String,35,Number,5,Number,150725.53,Number,2,Number,0,Number,1,Number,113656.85,Number,0,Number
70,Number,15755648,Number,Pisano,String,675,Number,France,String,Female,String,21,Number,8,Number,98373.26,Number,1,Number,1,Number,0,Number,18203,Number,0,Number
71,Number,15703793,Number,Konovalova,String,738,Number,Germany,String,Male,String,58,Number,2,Number,133745.44,Number,4,Number,1,Number,0,Number,28373.86,Number,1,Number
72,Number,15620344,Number,McKee,String,813,Number,France,String,Male,String,29,Number,6,Number,0,Number,1,Number,1,Number,0,Number,33953.87,Number,0,Number
73,Number,15812518,Number,Palermo,String,657,Number,Spain,String,Female,String,37,Number,0,Number,163607.18,Number,1,Number,0,Number,1,Number,44203.55,Number,0,Number
74,Number,15779052,Number,Ballard,String,604,Number,Germany,String,Female,String,25,Number,5,Number,157780.84,Number,2,Number,1,Number,1,Number,58426.81,Number,0,Number
75,Number,15770811,Number,Wallace,String,519,Number,France,String,Male,String,36,Number,9,Number,0,Number,2,Number,0,Number,1,Number,145562.4,Number,0,Number
76,Number,15780961,Number,Cavenagh,String,735,Number,France,String,Female,String,21,Number,1,Number,178718.19,Number,2,Number,1,Number,0,Number,22388,Number,0,Number
77,Number,15614049,Number,Hu,String,664,Number,France,String,Male,String,55,Number,8,Number,0,Number,2,Number,1,Number,1,Number,139161.64,Number,0,Number
78,Number,15662085,Number,Read,String,678,Number,France,String,Female,String,32,Number,9,Number,0,Number,1,Number,1,Number,1,Number,148210.64,Number,0,Number
79,Number,15575185,Number,Bushell,String,757,Number,Spain,String,Male,String,33,Number,5,Number,77253.22,Number,1,Number,0,Number,1,Number,194239.63,Number,0,Number
80,Number,15803136,Number,Postle,String,416,Number,Germany,String,Female,String,41,Number,10,Number,122189.66,Number,2,Number,1,Number,0,Number,98301.61,Number,0,Number
81,Number,15706021,Number,Buley,String,665,Number,France,String,Female,String,34,Number,1,Number,96645.54,Number,2,Number,0,Number,0,Number,171413.66,Number,0,Number
82,Number,15663706,Number,Leonard,String,777,Number,France,String,Female,String,32,Number,2,Number,0,Number,1,Number,1,Number,0,Number,136458.19,Number,1,Number
83,Number,15641732,Number,Mills,String,543,Number,France,String,Female,String,36,Number,3,Number,0,Number,2,Number,0,Number,0,Number,26019.59,Number,0,Number
84,Number,15701164,Number,Onyeorulu,String,506,Number,France,String,Female,String,34,Number,4,Number,90307.62,Number,1,Number,1,Number,1,Number,159235.29,Number,0,Number
85,Number,15738751,Number,Beit,String,493,Number,France,String,Female,String,46,Number,4,Number,0,Number,2,Number,1,Number,0,Number,1907.66,Number,0,Number
86,Number,15805254,Number,Ndukaku,String,652,Number,Spain,String,Female,String,75,Number,10,Number,0,Number,2,Number,1,Number,1,Number,114675.75,Number,0,Number
87,Number,15762418,Number,Gant,String,750,Number,Spain,String,Male,String,22,Number,3,Number,121681.82,Number,1,Number,1,Number,0,Number,128643.35,Number,1,Number
88,Number,15625759,Number,Rowley,String,729,Number,France,String,Male,String,30,Number,9,Number,0,Number,2,Number,1,Number,0,Number,151869.35,Number,0,Number
89,Number,15622897,Number,Sharpe,String,646,Number,France,String,Female,String,46,Number,4,Number,0,Number,3,Number,1,Number,0,Number,93251.42,Number,1,Number
90,Number,15767954,Number,Osborne,String,635,Number,Germany,String,Female,String,28,Number,3,Number,81623.67,Number,2,Number,1,Number,1,Number,156791.36,Number,0,Number
91,Number,15757535,Number,Heap,String,647,Number,Spain,String,Female,String,44,Number,5,Number,0,Number,3,Number,1,Number,1,Number,174205.22,Number,1,Number
92,Number,15731511,Number,Ritchie,String,808,Number,France,String,Male,String,45,Number,7,Number,118626.55,Number,2,Number,1,Number,0,Number,147132.46,Number,0,Number
93,Number,15809248,Number,Cole,String,524,Number,France,String,Female,String,36,Number,10,Number,0,Number,2,Number,1,Number,0,Number,109614.57,Number,0,Number
94,Number,15640635,Number,Capon,String,769,Number,France,String,Male,String,29,Number,8,Number,0,Number,2,Number,1,Number,1,Number,172290.61,Number,0,Number
95,Number,15676966,Number,Capon,String,730,Number,Spain,String,Male,String,42,Number,4,Number,0,Number,2,Number,0,Number,1,Number,85982.47,Number,0,Number
96,Number,15699461,Number,Fiorentini,String,515,Number,Spain,String,Male,String,35,Number,10,Number,176273.95,Number,1,Number,0,Number,1,Number,121277.78,Number,0,Number
97,Number,15738721,Number,Graham,String,773,Number,Spain,String,Male,String,41,Number,9,Number,102827.44,Number,1,Number,0,Number,1,Number,64595.25,Number,0,Number
98,Number,15693683,Number,Yuille,String,814,Number,Germany,String,Male,String,29,Number,8,Number,97086.4,Number,2,Number,1,Number,1,Number,197276.13,Number,0,Number
99,Number,15604348,Number,Allard,String,710,Number,Spain,String,Male,String,22,Number,8,Number,0,Number,2,Number,0,Number,0,Number,99645.04,Number,0,Number
100,Number,15633059,Number,Fanucci,String,413,Number,France,String,Male,String,34,Number,9,Number,0,Number,2,Number,0,Number,0,Number,6534.18,Number,0,Number
101,Number,15808582,Number,Fu,String,665,Number,France,String,Female,String,40,Number,6,Number,0,Number,1,Number,1,Number,1,Number,161848.03,Number,0,Number
102,Number,15743192,Number,Hung,String,623,Number,France,String,Female,String,44,Number,6,Number,0,Number,2,Number,0,Number,0,Number,167162.43,Number,0,Number
103,Number,15580146,Number,Hung,String,738,Number,France,String,Male,String,31,Number,9,Number,82674.15,Number,1,Number,1,Number,0,Number,41970.72,Number,0,Number
104,Number,15776605,Number,Bradley,String,528,Number,Spain,String,Male,String,36,Number,7,Number,0,Number,2,Number,1,Number,0,Number,60536.56,Number,0,Number
105,Number,15804919,Number,Dunbabin,String,670,Number,Spain,String,Female,String,65,Number,1,Number,0,Number,1,Number,1,Number,1,Number,177655.68,Number,1,Number
106,Number,15613854,Number,Mauldon,String,622,Number,Spain,String,Female,String,46,Number,4,Number,107073.27,Number,2,Number,1,Number,1,Number,30984.59,Number,1,Number
107,Number,15599195,Number,Stiger,String,582,Number,Germany,String,Male,String,32,Number,1,Number,88938.62,Number,1,Number,1,Number,1,Number,10054.53,Number,0,Number
108,Number,15812878,Number,Parsons,String,785,Number,Germany,String,Female,String,36,Number,2,Number,99806.85,Number,1,Number,0,Number,1,Number,36976.52,Number,0,Number
109,Number,15602312,Number,Walkom,String,605,Number,Spain,String,Male,String,33,Number,5,Number,150092.8,Number,1,Number,0,Number,0,Number,71862.79,Number,0,Number
110,Number,15744689,Number,T'ang,String,479,Number,Germany,String,Male,String,35,Number,9,Number,92833.89,Number,1,Number,1,Number,0,Number,99449.86,Number,1,Number
111,Number,15803526,Number,Eremenko,String,685,Number,Germany,String,Male,String,30,Number,3,Number,90536.81,Number,1,Number,0,Number,1,Number,63082.88,Number,0,Number
112,Number,15665790,Number,Rowntree,String,538,Number,Germany,String,Male,String,39,Number,7,Number,108055.1,Number,2,Number,1,Number,0,Number,27231.26,Number,0,Number
113,Number,15715951,Number,Thorpe,String,562,Number,France,String,Male,String,42,Number,2,Number,100238.35,Number,1,Number,0,Number,0,Number,86797.41,Number,0,Number
114,Number,15591100,Number,Chiemela,String,675,Number,Spain,String,Male,String,36,Number,9,Number,106190.55,Number,1,Number,0,Number,1,Number,22994.32,Number,0,Number
115,Number,15609618,Number,Fanucci,String,721,Number,Germany,String,Male,String,28,Number,9,Number,154475.54,Number,2,Number,0,Number,1,Number,101300.94,Number,1,Number
116,Number,15675522,Number,Ko,String,628,Number,Germany,String,Female,String,30,Number,9,Number,132351.29,Number,2,Number,1,Number,1,Number,74169.13,Number,0,Number
117,Number,15705512,Number,Welch,String,668,Number,Germany,String,Female,String,37,Number,6,Number,167864.4,Number,1,Number,1,Number,0,Number,115638.29,Number,0,Number
118,Number,15698028,Number,Duncan,String,506,Number,France,String,Female,String,41,Number,1,Number,0,Number,2,Number,1,Number,0,Number,31766.3,Number,0,Number
119,Number,15661670,Number,Chidozie,String,524,Number,Germany,String,Female,String,31,Number,8,Number,107818.63,Number,1,Number,1,Number,0,Number,199725.39,Number,1,Number
120,Number,15600781,Number,Wu,String,699,Number,Germany,String,Male,String,34,Number,4,Number,185173.81,Number,2,Number,1,Number,0,Number,120834.48,Number,0,Number
121,Number,15682472,Number,Culbreth,String,828,Number,France,String,Male,String,34,Number,8,Number,129433.34,Number,2,Number,0,Number,0,Number,38131.77,Number,0,Number
122,Number,15580203,Number,Kennedy,String,674,Number,Spain,String,Male,String,39,Number,6,Number,120193.42,Number,1,Number,0,Number,0,Number,100130.95,Number,0,Number
123,Number,15690673,Number,Cameron,String,656,Number,France,String,Female,String,39,Number,6,Number,0,Number,2,Number,1,Number,0,Number,141069.88,Number,0,Number
124,Number,15760085,Number,Calabresi,String,684,Number,Germany,String,Female,String,48,Number,10,Number,126384.42,Number,1,Number,1,Number,1,Number,198129.36,Number,0,Number
125,Number,15779659,Number,Zetticci,String,625,Number,France,String,Female,String,28,Number,3,Number,0,Number,1,Number,0,Number,0,Number,183646.41,Number,0,Number
126,Number,15627360,Number,Fuller,String,432,Number,France,String,Male,String,42,Number,9,Number,152603.45,Number,1,Number,1,Number,0,Number,110265.24,Number,1,Number
127,Number,15671137,Number,MacDonald,String,549,Number,France,String,Female,String,52,Number,1,Number,0,Number,1,Number,0,Number,1,Number,8636.05,Number,1,Number
128,Number,15782688,Number,Piccio,String,625,Number,Germany,String,Male,String,56,Number,0,Number,148507.24,Number,1,Number,1,Number,0,Number,46824.08,Number,1,Number
129,Number,15575492,Number,Kennedy,String,828,Number,France,String,Female,String,41,Number,7,Number,0,Number,2,Number,1,Number,0,Number,171378.77,Number,0,Number
130,Number,15591607,Number,Fernie,String,770,Number,France,String,Male,String,24,Number,9,Number,101827.07,Number,1,Number,1,Number,0,Number,167256.35,Number,0,Number
131,Number,15740404,Number,He,String,758,Number,France,String,Female,String,34,Number,3,Number,0,Number,2,Number,1,Number,1,Number,124226.16,Number,0,Number
132,Number,15718369,Number,Kaodilinakachukwu,String,795,Number,Germany,String,Female,String,33,Number,9,Number,130862.43,Number,1,Number,1,Number,1,Number,114935.21,Number,0,Number
133,Number,15677871,Number,Cocci,String,687,Number,France,String,Male,String,38,Number,9,Number,122570.87,Number,1,Number,1,Number,1,Number,35608.88,Number,0,Number
134,Number,15642004,Number,Alekseeva,String,686,Number,France,String,Male,String,25,Number,1,Number,0,Number,2,Number,0,Number,1,Number,16459.37,Number,0,Number
135,Number,15712543,Number,Chinweike,String,789,Number,Germany,String,Male,String,39,Number,7,Number,124828.46,Number,2,Number,1,Number,1,Number,124411.08,Number,0,Number
136,Number,15584518,Number,Arthur,String,589,Number,Germany,String,Female,String,50,Number,5,Number,144895.05,Number,2,Number,1,Number,1,Number,34941.23,Number,0,Number
137,Number,15802381,Number,Li,String,461,Number,Germany,String,Female,String,34,Number,5,Number,63663.93,Number,1,Number,0,Number,1,Number,167784.28,Number,0,Number
138,Number,15610156,Number,Ma,String,637,Number,France,String,Male,String,40,Number,2,Number,133463.1,Number,1,Number,0,Number,1,Number,93165.34,Number,0,Number
139,Number,15594408,Number,Chia,String,584,Number,Spain,String,Female,String,48,Number,2,Number,213146.2,Number,1,Number,1,Number,0,Number,75161.25,Number,1,Number
140,Number,15640905,Number,Vasin,String,579,Number,Spain,String,Female,String,35,Number,1,Number,129490.36,Number,2,Number,0,Number,1,Number,8590.83,Number,1,Number
141,Number,15698932,Number,Groves,String,756,Number,Germany,String,Male,String,44,Number,10,Number,137452.09,Number,1,Number,1,Number,0,Number,189543.9,Number,0,Number
142,Number,15724944,Number,Tien,String,663,Number,France,String,Male,String,34,Number,7,Number,0,Number,2,Number,1,Number,1,Number,180427.24,Number,0,Number
143,Number,15628145,Number,Forwood,String,682,Number,France,String,Female,String,43,Number,5,Number,125851.93,Number,1,Number,1,Number,1,Number,193318.33,Number,0,Number
144,Number,15713483,Number,Greeves,String,793,Number,Spain,String,Male,String,52,Number,2,Number,0,Number,1,Number,1,Number,0,Number,159123.82,Number,1,Number
145,Number,15612350,Number,Taylor,String,691,Number,France,String,Female,String,31,Number,5,Number,40915.55,Number,1,Number,1,Number,0,Number,126213.84,Number,1,Number
146,Number,15800703,Number,Madukwe,String,485,Number,Spain,String,Female,String,21,Number,5,Number,113157.22,Number,1,Number,1,Number,1,Number,54141.5,Number,0,Number
147,Number,15705707,Number,Bennelong,String,635,Number,Spain,String,Female,String,29,Number,8,Number,138296.94,Number,2,Number,1,Number,0,Number,141075.51,Number,0,Number
148,Number,15754105,Number,Olisanugo,String,650,Number,France,String,Male,String,37,Number,5,Number,106967.18,Number,1,Number,0,Number,0,Number,24495.03,Number,0,Number
149,Number,15703264,Number,Chukwufumnanya,String,735,Number,France,String,Male,String,44,Number,9,Number,120681.63,Number,1,Number,1,Number,0,Number,74836.34,Number,0,Number
150,Number,15794413,Number,Harris,String,416,Number,France,String,Male,String,32,Number,0,Number,0,Number,2,Number,0,Number,1,Number,878.87,Number,0,Number
151,Number,15650237,Number,Morgan,String,754,Number,Spain,String,Female,String,32,Number,7,Number,0,Number,2,Number,1,Number,0,Number,89520.75,Number,0,Number
152,Number,15759618,Number,Alexeeva,String,535,Number,France,String,Female,String,48,Number,9,Number,0,Number,1,Number,1,Number,0,Number,149892.79,Number,1,Number
153,Number,15811589,Number,Metcalfe,String,716,Number,Spain,String,Male,String,42,Number,8,Number,0,Number,2,Number,1,Number,0,Number,180800.42,Number,0,Number
154,Number,15689044,Number,Humphries,String,539,Number,France,String,Male,String,37,Number,2,Number,127609.59,Number,1,Number,1,Number,0,Number,98646.22,Number,0,Number
155,Number,15709368,Number,Milne,String,614,Number,France,String,Female,String,43,Number,6,Number,0,Number,2,Number,1,Number,1,Number,109041.53,Number,0,Number
156,Number,15679145,Number,Chou,String,706,Number,Spain,String,Male,String,57,Number,7,Number,0,Number,1,Number,1,Number,0,Number,17941.16,Number,1,Number
157,Number,15655007,Number,Li,String,758,Number,France,String,Female,String,33,Number,7,Number,0,Number,2,Number,0,Number,0,Number,82996.47,Number,0,Number
158,Number,15623595,Number,Clayton,String,586,Number,Spain,String,Female,String,28,Number,2,Number,0,Number,2,Number,1,Number,1,Number,92067.35,Number,0,Number
159,Number,15589975,Number,Maclean,String,646,Number,France,String,Female,String,73,Number,6,Number,97259.25,Number,1,Number,0,Number,1,Number,104719.66,Number,0,Number
160,Number,15804017,Number,Chigolum,String,631,Number,Germany,String,Female,String,33,Number,4,Number,123246.7,Number,1,Number,0,Number,0,Number,112687.57,Number,0,Number
161,Number,15692132,Number,Wilkinson,String,717,Number,Spain,String,Female,String,22,Number,6,Number,101060.25,Number,1,Number,0,Number,1,Number,84699.56,Number,0,Number
162,Number,15641122,Number,Wei,String,684,Number,France,String,Male,String,30,Number,2,Number,0,Number,2,Number,1,Number,0,Number,83473.82,Number,0,Number
163,Number,15630910,Number,Treacy,String,800,Number,France,String,Female,String,49,Number,7,Number,108007.36,Number,1,Number,0,Number,0,Number,47125.11,Number,0,Number
164,Number,15680772,Number,Hu,String,721,Number,Spain,String,Female,String,36,Number,2,Number,0,Number,2,Number,1,Number,1,Number,106977.8,Number,0,Number
165,Number,15658929,Number,Taverner,String,683,Number,Spain,String,Male,String,29,Number,0,Number,133702.89,Number,1,Number,1,Number,0,Number,55582.54,Number,1,Number
166,Number,15585388,Number,Sherman,String,660,Number,Germany,String,Male,String,31,Number,9,Number,125189.75,Number,2,Number,1,Number,1,Number,139874.43,Number,0,Number
167,Number,15724623,Number,Taubman,String,704,Number,Germany,String,Female,String,24,Number,7,Number,113034.22,Number,1,Number,1,Number,0,Number,162503.48,Number,1,Number
168,Number,15588537,Number,Robinson,String,615,Number,Spain,String,Female,String,41,Number,9,Number,109013.23,Number,1,Number,1,Number,0,Number,196499.96,Number,0,Number
169,Number,15574692,Number,Pinto,String,667,Number,Spain,String,Female,String,39,Number,2,Number,0,Number,2,Number,1,Number,0,Number,40721.24,Number,1,Number
170,Number,15611325,Number,Wood,String,682,Number,Germany,String,Male,String,24,Number,9,Number,57929.81,Number,2,Number,0,Number,0,Number,53134.3,Number,0,Number
171,Number,15587562,Number,Hawkins,String,484,Number,France,String,Female,String,29,Number,4,Number,130114.39,Number,1,Number,1,Number,0,Number,164017.89,Number,0,Number
